FB-1-1,FB-1-2,FB-1-3,FB-1-4,FB-1-5,FB-1-6,FB-1-7,FB-1-8,SGW-1-1,SGW-1-2,SGW-1-3,SGW-1-4,SGW-1-5,SGW-1-6,SGW-2-1,SGW-2-2,SGW-2-3,SGW-2-4,SGW-2-5,SGW-2-6,SGW-2-7,SGW-2-8,HV-1-1,HV-1-2,HV-1-3,HV-1-4,HV-1-5,HV-1-6,HV-1-7,HV-1-8,HV-2-1,HV-2-2,HV-2-3,HV-2-4,HV-2-5,ICC-1-1,ICC-1-2,ICC-1-3,ICC-1-4,ICC-1-5,ICC-1-6,ICC-2-1,ICC-2-2,ICC-2-3,ICC-2-4,IMN-1-1,IMN-1-2,IMN-1-3,IMN-1-4,IMN-1-5,CF-1-1,CF-1-2,CF-1-3,CF-1-4,BR-1-1,BR-1-2,BR-1-3,BR-1-4,SC-1-1,SC-1-2,SC-1-3,SC-1-4,EML-1-1,EML-1-2,EML-1-3,EML-1-4
0.0361526,0.042909963,0.033130085,0.028477971,0.042000631,0.097880837,0.053020394,0.042000631,0.0361526,0.038967063,0.032134885,0.025939015,0.056083771,0.01199692,0.032830619,0.041110569,0.038141287,0.038967063,0.150225683,0.061758633,0.052033024,0.068007708,0.024065525,0.024065525,0.028871219,0.024065525,0.043838982,0.035009511,0.057298009,0.048794637,0.045757798,0.018022455,0.052033024,0.020937761,0.016019581,0.059168836,0.011011855,0.013937537,0.049851062,0.020937761,0.020059753,0.01199692,0.022089508,0.019013837,0.015022568,0.065155861,0.027958356,0.025939015,0.019013837,0.018022455,0.161230735,0.174433175,0.155386569,0.15365219,-9999,-9999,0.17964963,0.171693838,0.416434146,0.403954098,0.157310186,0.157323,-9999,0.125361483,0.106495751,0.09888488
0.039810717,0.038575056,0.057914952,0.03111883,0.053731945,0.099360847,0.0361526,0.060291997,0.073302077,0.018022455,0.035009511,0.042000631,0.027958356,0.015022568,0.030134901,0.025118864,0.0361526,0.044788116,0.167207523,0.042000631,0.083354727,0.067283252,0.05093036,0.018022455,0.05093036,0.023056358,0.059805921,0.044788116,0.059168836,0.057914952,0.032830619,0.0361526,0.059168836,0.097880837,0.018022455,0.081588304,0.028871219,0.01199692,0.0361526,0.022089508,0.023056358,0.01199692,0.042909963,0.020059753,0.017082764,0.075695449,0.033902565,0.034559557,0.023056358,0.032987438,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.038248413,0.054895265,0.045941319,0.033807678,0.061500772,0.116175962,0.042909963,0.047760599,0.052033024,0.057298009,0.038141287,0.033902565,0.059805921,0.032134885,0.038967063,0.039810717,0.039810717,0.057914952,0.061758633,0.065155861,0.065857411,0.077334288,0.053731945,0.018022455,0.053159562,0.027958356,0.048794637,0.047760599,0.054895265,0.074889099,0.054895265,0.028871219,0.042909963,0.11250266,0.025118864,0.07098438,0.017082764,0.018022455,0.05093036,0.007985932,0.024065525,0.025118864,0.025939015,0.007022821,0.018022455,0.067394618,0.050628558,0.03111883,0.030332166,0.020059753,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.047760599,0.04853856,0.070228215,0.035009511,0.083357585,0.132749954,0.074652366,0.076721703,0.074889099,0.019013837,0.03111883,0.047251827,0.063095734,0.035009511,0.032830619,0.044788116,0.032134885,0.045757798,0.174526133,0.086076326,0.087003131,0.081588304,0.042909963,0.020937761,0.039810717,0.030134901,0.063095734,0.038967063,0.061100746,0.079859315,0.059805921,0.027958356,0.059168836,0.025939015,0.020059753,0.091789013,0.028871219,0.032134885,0.052033024,0.007985932,0.022089508,0.025939015,0.041110569,0.020059753,0.019013837,0.07221596,0.065526241,0.045169136,0.04096931,0.046685741,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.053420055,0.065155861,0.058705172,0.04379557,0.100379734,0.175277799,0.09342665,0.063775102,0.083354727,0.061100746,0.041110569,0.042909963,0.0361526,0.018022455,0.03693532,0.042909963,0.033902565,0.05093036,0.184126492,0.052033024,0.068007708,0.078166966,0.067283252,0.049851062,0.05093036,0.039810717,0.065155861,0.053159562,0.059168836,0.078166966,0.080719181,0.032134885,0.059805921,0.114938392,0.023056358,0.071748686,0.03111883,0.023056358,0.042000631,0.007985932,0.025118864,0.013937537,0.027074356,0.022089508,0.020937761,0.086407168,0.065857411,0.038141287,0.041110569,0.028871219,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.089390034,0.086969224,0.095694586,0.060299277,0.101076725,0.24324645,0.089843854,0.105279037,0.097880837,0.024065525,0.035009511,0.053159562,0.065155861,0.038141287,0.049851062,0.032134885,0.044788116,0.063095734,0.068739964,0.090811225,0.07098438,0.088886787,0.068739964,0.023056358,0.049851062,0.041110569,0.070228215,0.056083771,0.063095734,0.087003131,0.113714004,0.049851062,0.059805921,0.105500815,0.023056358,0.074889099,0.033902565,0.027074356,0.047251827,0.024065525,0.025939015,0.016019581,0.038967063,0.023056358,0.022089508,0.105673635,0.086036907,0.059394142,0.053474372,0.074171115,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.102165044,0.134968543,0.136421783,0.063775102,0.132962563,0.240786195,0.139375374,0.1,0.091789013,0.059168836,0.042909963,0.054895265,0.067283252,0.038967063,0.032134885,0.043838982,0.032830619,0.07098438,0.19013837,0.098934745,0.098934745,0.087003131,0.088886787,0.030134901,0.063095734,0.043838982,0.061758633,0.061758633,0.068007708,0.095806583,0.098934745,0.03693532,0.057298009,0.096838156,0.025939015,0.11250266,0.035009511,0.047251827,0.054895265,0.008984385,0.027958356,0.018022455,0.049851062,0.007985932,0.024065525,0.125220207,0.131170664,0.065155861,0.056083771,0.039810717,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.1783047,0.216213955,0.188112911,0.097880837,0.142392912,0.270743563,0.156801003,0.143926093,0.188112911,0.061100746,0.043838982,0.059805921,0.042000631,0.022089508,0.042000631,0.049851062,0.05093036,0.053731945,0.19013837,0.103265081,0.074889099,0.089843854,0.084252228,0.098934745,0.053159562,0.044788116,0.073302077,0.049851062,0.070228215,0.101076725,0.1783047,0.096838156,0.065155861,0.107784954,0.025118864,0.07900861,0.033902565,0.0361526,0.045757798,0.011011855,0.025939015,0.019013837,0.043838982,0.024065525,0.020059753,0.156801003,0.122566587,0.087939916,0.073737852,0.130171338,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.273658727,0.224046367,0.214386118,0.159234224,0.218541985,0.184248806,0.218541985,0.192185638,0.105500815,0.065155861,0.03693532,0.053731945,0.071748686,0.041110569,0.059168836,0.042000631,0.0361526,0.056083771,0.192185638,0.11250266,0.080719181,0.094785998,0.11250266,0.033902565,0.057914952,0.056083771,0.077334288,0.063775102,0.07098438,0.105500815,0.117426858,0.045757798,0.080719181,0.262183074,0.025118864,0.083354727,0.049851062,0.068007708,0.048794637,0.011011855,0.028871219,0.019013837,0.047760599,0.024065525,0.024065525,0.202757414,0.1764053,0.136421783,0.074091339,0.047251827,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.331841144,0.31453894,0.279583558,0.150225683,0.253893255,0.279583558,0.245865546,0.220895082,0.132108339,0.028871219,0.047760599,0.063095734,0.075695449,0.042909963,0.039810717,0.05093036,0.0361526,0.057298009,0.087003131,0.059805921,0.081588304,0.096838156,0.057298009,0.147042156,0.065857411,0.049851062,0.077334288,0.061758633,0.07900861,0.11250266,0.113714004,0.12793128,0.075695449,0.136421783,0.023056358,0.165426336,0.042000631,0.038967063,0.053731945,0.0361526,0.028871219,0.022089508,0.059168836,0.011011855,0.025939015,0.220895082,0.209377607,0.184724421,0.080719181,0.053731945,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.480177245,0.393866313,0.30459371,0.204940555,0.241822561,0.282593905,0.175295763,0.228107484,0.145475781,0.065155861,0.025939015,0.059805921,0.042909963,0.028871219,0.073302077,0.057298009,0.041110569,0.086076326,0.198460654,0.117426858,0.103265081,0.1,0.068007708,0.039810717,0.1783047,0.061758633,0.098934745,0.085159393,0.07900861,0.153478134,0.253893255,0.049851062,0.103265081,0.369353195,0.030134901,0.1518432,0.043838982,0.147042156,0.134968543,0.01199692,0.03111883,0.025118864,0.059805921,0.025939015,0.027074356,0.265006065,0.262183074,0.134968543,0.087003131,0.053159562,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.429099629,0.433719853,0.221167131,0.275721314,0.271229441,0.270599357,0.267859452,0.27469002,0.361525999,0.0361526,0.042000631,0.07098438,0.068007708,0.03111883,0.045757798,0.057914952,0.065857411,0.063775102,0.103265081,0.075695449,0.089843854,0.110118545,0.163664123,0.238091662,0.365418641,0.077334288,0.106636769,0.07900861,0.086076326,0.186109028,0.132108339,0.057298009,0.080719181,0.153478134,0.027074356,0.084252228,0.088886787,0.07900861,0.061758633,0.012930875,0.033902565,0.032134885,0.065155861,0.025939015,0.025939015,0.213911951,0.256626987,0.134470737,0.086076326,0.057298009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.452703606,0.283883021,0.245736002,0.282142353,0.335414162,0.282593905,0.24652737,0.228107484,0.194254949,0.052033024,0.05093036,0.074889099,0.095806583,0.047760599,0.133530783,0.086076326,0.107784954,0.110118545,0.198460654,0.081588304,0.118691223,0.110118545,0.088886787,0.045757798,0.091789013,0.068739964,0.137890671,0.074091339,0.088886787,0.160195814,0.279583558,0.1764053,0.150225683,0.377349854,0.027958356,0.087003131,0.078166966,0.088886787,0.068007708,0.047251827,0.033902565,0.044788116,0.077334288,0.012930875,0.030134901,0.288560066,0.309530822,0.132108339,0.089367371,0.093333191,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0.47258083,0.26891207,0.30459371,0.31453894,0.335414162,0.279583558,0.267859452,0.203359383,0.604498669,0.077334288,0.053731945,0.068739964,0.111304219,0.03693532,0.136421783,0.071748686,0.059168836,0.153478134,0.132108339,0.137890671,0.093776285,0.11250266,0.207147201,0.218541985,0.105500815,0.122566587,0.11250266,0.085159393,0.095806583,0.170827639,0.291820824,0.182165075,0.270743563,0.184126492,0.03111883,0.204940555,0.057298009,0.245865546,0.251188643,0.054895265,0.038141287,0.041110569,0.123886292,0.030134901,0.025118864,0.238091662,0.285491079,0.125220207,0.104548533,0.057298009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
